Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
CLCN1	ENSG00000188037	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
CLTCL1	ENSG00000070371	SOD	Not OMIM	Breast-AdenoCA	1.03	0.20	1.47	0.154	0.246	-	-	-	-	-	1.03	0.20	1.47	0.154	0.249
CNGA1	ENSG00000198515	OMIM	Other	Breast-AdenoCA	-	-	-	-	-	0.52	0.16	1.14	0.349	0.478	0.52	0.16	1.14	0.349	0.468
DHCR7	ENSG00000172893	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	2.06	0.00	4.81	0.002	0.005	2.06	0.00	4.81	0.002	0.005
DMGDH	ENSG00000132837	OMIM	AR	Breast-AdenoCA	0.52	0.12	1.46	0.245	0.386	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
DNAH1	ENSG00000114841	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.28	-0.56	0.717	0.756	0.00	0.28	-0.56	0.717	0.754
DNAH9	ENSG00000007174	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
ECT2L	ENSG00000203734	SOD	Not OMIM	Breast-AdenoCA	1.03	0.44	0.46	0.628	0.653	-	-	-	-	-	1.03	0.44	0.46	0.628	0.664
F7	ENSG00000057593	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072
FGG	ENSG00000171557	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.76	-0.30	0.743	0.783	1.03	0.76	-0.30	0.743	0.781
FIG4	ENSG00000112367	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.16	1.14	0.349	0.478	0.52	0.16	1.14	0.349	0.468
FKBP14	ENSG00000106080	OMIM	AR	Breast-AdenoCA	0.00	0.20	-0.14	0.929	0.936	0.00	0.20	-0.14	0.929	0.936	0.00	0.20	-0.14	0.929	0.936
FLG	ENSG00000143631	OMIM	AD	Breast-AdenoCA	1.03	0.20	1.47	0.154	0.246	-	-	-	-	-	1.03	0.20	1.47	0.154	0.249
GALNS	ENSG00000141012	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.832	0.00	0.24	-0.36	0.815	0.830
GCKR	ENSG00000084734	OMIM	Other	Breast-AdenoCA	2.58	0.12	3.08	0.001	0.002	-	-	-	-	-	2.58	0.12	3.08	0.001	0.002
GJB2	ENSG00000165474	CPG	Not OMIM	Breast-AdenoCA	-	-	-	-	-	0.52	0.20	0.87	0.462	0.533	0.52	0.20	0.87	0.462	0.523
GLB1	ENSG00000170266	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
GUCA1B	ENSG00000112599	OMIM	Other	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
GYG1	ENSG00000163754	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
HAL	ENSG00000084110	OMIM	ADAR	Breast-AdenoCA	0.00	0.20	-0.14	0.929	0.936	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936
HGD	ENSG00000113924	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.832	0.00	0.24	-0.36	0.815	0.830
HLA-C	ENSG00000204525	OMIM	Other	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
HTRA1	ENSG00000166033	OMIM	ADAR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
IGF2	ENSG00000167244	OMIM	AD	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
KIAA0586	ENSG00000100578	OMIM	AR	Breast-AdenoCA	0.00	0.24	-0.36	0.815	0.826	0.00	0.20	-0.14	0.929	0.936	0.00	0.24	-0.36	0.815	0.830
LDLR	ENSG00000130164	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	0.00	0.28	-0.56	0.717	0.756	0.00	0.28	-0.56	0.717	0.754
LEPR	ENSG00000116678	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
LRIG2	ENSG00000198799	OMIM	AR	Breast-AdenoCA	0.00	0.24	-0.36	0.815	0.826	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.830
LRP2	ENSG00000081479	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
LY75-CD302	ENSG00000248672	SOD	Not OMIM	Breast-AdenoCA	1.55	0.24	1.67	0.068	0.113	-	-	-	-	-	1.55	0.24	1.67	0.068	0.116
MC1R	ENSG00000258839	OMIM	AR	Breast-AdenoCA	1.03	0.28	1.05	0.288	0.452	-	-	-	-	-	1.03	0.28	1.05	0.288	0.453
MC4R	ENSG00000166603	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.52	0.12	1.46	0.245	0.389	0.52	0.12	1.46	0.245	0.386
MEF2A	ENSG00000068305	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	0.52	0.16	1.14	0.349	0.478	0.52	0.16	1.14	0.349	0.468
MIB1	ENSG00000101752	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072
MLH3	ENSG00000119684	OMIM	AD	Breast-AdenoCA	0.52	0.12	1.46	0.245	0.386	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
MMACHC	ENSG00000132763	OMIM	AR	Breast-AdenoCA	0.00	0.20	-0.14	0.929	0.936	-	-	-	-	-	0.00	0.28	-0.56	0.717	0.754
MPO	ENSG00000005381	OMIM	ADAR	Breast-AdenoCA	1.03	0.20	1.47	0.154	0.246	1.03	0.28	1.05	0.288	0.455	1.03	0.32	0.88	0.367	0.468
MUT	ENSG00000146085	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
MUTYH	ENSG00000132781	CPG	Not OMIM	Breast-AdenoCA	-	-	-	-	-	0.52	0.56	-0.47	0.670	0.710	0.52	0.56	-0.47	0.670	0.708
MYH8	ENSG00000133020	OMIM	AD	Breast-AdenoCA	1.03	0.08	2.47	0.037	0.072	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072
MYO15A	ENSG00000091536	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
MYOC	ENSG00000034971	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
NUP93	ENSG00000102900	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
PAH	ENSG00000171759	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.55	0.32	1.30	0.138	0.227	1.55	0.32	1.30	0.138	0.224
PARS2	ENSG00000162396	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.20	1.47	0.154	0.251	1.03	0.20	1.47	0.154	0.249
PCK2	ENSG00000100889	OMIM	AR	Breast-AdenoCA	1.03	0.32	0.88	0.367	0.454	-	-	-	-	-	1.03	0.32	0.88	0.367	0.468
PCNT	ENSG00000160299	OMIM	AR	Breast-AdenoCA	0.52	0.20	0.87	0.462	0.509	0.00	0.16	0.13	0.936	0.936	0.52	0.20	0.87	0.462	0.523
PDCD2L	ENSG00000126249	SOD	Not OMIM	Breast-AdenoCA	0.00	0.24	-0.36	0.815	0.826	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.830
PDE11A	ENSG00000128655	OMIM	AD	Breast-AdenoCA	1.03	0.48	0.34	0.717	0.744	-	-	-	-	-	1.03	0.48	0.34	0.717	0.754
PKHD1	ENSG00000170927	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072	1.03	0.08	2.47	0.037	0.072
PKHD1L1	ENSG00000205038	SOD	Not OMIM	Breast-AdenoCA	0.00	0.28	-0.56	0.717	0.744	-	-	-	-	-	0.00	0.28	-0.56	0.717	0.754
PMFBP1	ENSG00000118557	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
PMM2	ENSG00000140650	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
POLQ	ENSG00000051341	SOD	Not OMIM	Breast-AdenoCA	0.52	0.16	1.14	0.349	0.454	-	-	-	-	-	0.52	0.16	1.14	0.349	0.468
PPA2	ENSG00000138777	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.20	0.87	0.462	0.533	0.52	0.20	0.87	0.462	0.523
PRSS56	ENSG00000237412	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.36	-0.88	0.561	0.641	0.00	0.36	-0.88	0.561	0.634
PYGM	ENSG00000068976	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	0.52	0.20	0.87	0.462	0.533	0.52	0.20	0.87	0.462	0.523
RDH12	ENSG00000139988	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936	0.00	0.20	-0.14	0.929	0.936
RDH5	ENSG00000135437	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
RGL3	ENSG00000205517	SOD	Not OMIM	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
RORA	ENSG00000069667	OMIM	AD	Breast-AdenoCA	0.00	0.20	-0.14	0.929	0.936	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936
RORC	ENSG00000143365	OMIM	AR	Breast-AdenoCA	0.52	0.12	1.46	0.245	0.386	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
RP1L1	ENSG00000183638	OMIM	AD	Breast-AdenoCA	0.00	0.36	-0.88	0.561	0.617	-	-	-	-	-	0.00	0.36	-0.88	0.561	0.634
RPGRIP1	ENSG00000092200	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
RTN4R	ENSG00000040608	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.832	0.00	0.24	-0.36	0.815	0.830
SERPINA1	ENSG00000197249	CPG	Not OMIM	Breast-AdenoCA	-	-	-	-	-	0.52	0.12	1.46	0.245	0.389	0.52	0.12	1.46	0.245	0.386
SERPIND1	ENSG00000099937	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936	0.00	0.20	-0.14	0.929	0.936
SGCA	ENSG00000108823	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.16	1.14	0.349	0.478	0.52	0.16	1.14	0.349	0.468
SHPK	ENSG00000197417	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
SI	ENSG00000090402	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072
SIAE	ENSG00000110013	OMIM	Other	Breast-AdenoCA	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.832	0.00	0.24	-0.36	0.815	0.830
SLC10A2	ENSG00000125255	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
SLC12A3	ENSG00000070915	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072	1.03	0.08	2.47	0.037	0.072
SLC17A9	ENSG00000101194	OMIM	AD	Breast-AdenoCA	0.00	0.28	-0.56	0.717	0.744	-	-	-	-	-	0.00	0.28	-0.56	0.717	0.754
SLC26A2	ENSG00000155850	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.28	-0.56	0.717	0.756	0.00	0.28	-0.56	0.717	0.754
SLC2A9	ENSG00000109667	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
SLC6A19	ENSG00000174358	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.20	-0.14	0.929	0.936
SLC7A9	ENSG00000021488	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936	0.00	0.20	-0.14	0.929	0.936
SPG7	ENSG00000197912	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
SPTA1	ENSG00000163554	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936	0.00	0.20	-0.14	0.929	0.936
SRGAP1	ENSG00000196935	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	1.03	0.12	2.05	0.064	0.110	1.03	0.12	2.05	0.064	0.109
TCHH	ENSG00000159450	OMIM	AR	Breast-AdenoCA	1.55	0.16	2.15	0.027	0.053	-	-	-	-	-	1.55	0.16	2.15	0.027	0.053
TEX11	ENSG00000120498	OMIM	Other	Breast-AdenoCA	-	-	-	-	-	1.55	0.08	2.90	0.009	0.018	1.55	0.08	2.90	0.009	0.018
TEX15	ENSG00000133863	OMIM	AR	Breast-AdenoCA	0.52	0.20	0.87	0.462	0.509	-	-	-	-	-	0.52	0.20	0.87	0.462	0.523
TF	ENSG00000091513	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.36	0.72	0.451	0.523	1.03	0.36	0.72	0.451	0.512
TGFBI	ENSG00000120708	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
TGM1	ENSG00000092295	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.832	0.00	0.24	-0.36	0.815	0.830
TGM5	ENSG00000104055	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.16	1.14	0.349	0.478	0.52	0.16	1.14	0.349	0.468
TMEM8C	ENSG00000187616	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.24	1.24	0.216	0.346	1.03	0.24	1.24	0.216	0.345
TMPRSS3	ENSG00000160183	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	2.06	0.20	2.22	0.012	0.023	2.06	0.20	2.22	0.012	0.023
TPO	ENSG00000115705	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.12	1.46	0.245	0.389	0.52	0.20	0.87	0.462	0.523
TRPM1	ENSG00000134160	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.52	0.12	1.46	0.245	0.386
TSPEAR	ENSG00000175894	OMIM	AR	Breast-AdenoCA	0.00	0.24	-0.36	0.815	0.826	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.830
TUBB3	ENSG00000198211	OMIM	AD	Breast-AdenoCA	1.03	0.28	1.05	0.288	0.452	-	-	-	-	-	1.03	0.28	1.05	0.288	0.453
TYR	ENSG00000077498	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	1.03	0.20	1.47	0.154	0.251	1.03	0.24	1.24	0.216	0.345
UGT2B17	ENSG00000197888	OMIM	Other	Breast-AdenoCA	0.52	0.16	1.14	0.349	0.454	-	-	-	-	-	0.52	0.16	1.14	0.349	0.468
UNC80	ENSG00000144406	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.12	1.46	0.245	0.389	0.52	0.12	1.46	0.245	0.386
USH2A	ENSG00000042781	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936
USP45	ENSG00000123552	OMIM	AR	Breast-AdenoCA	2.06	0.56	0.88	0.242	0.382	-	-	-	-	-	2.06	0.56	0.88	0.242	0.386
XBP1	ENSG00000100219	OMIM	Other	Breast-AdenoCA	0.00	0.20	-0.14	0.929	0.936	-	-	-	-	-	0.00	0.20	-0.14	0.929	0.936
XIRP2	ENSG00000163092	SOD	Not OMIM	Breast-AdenoCA	1.03	0.08	2.47	0.037	0.072	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072
A2ML1	ENSG00000166535	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
ABCA12	ENSG00000144452	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
ABCA3	ENSG00000167972	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
ABCA4	ENSG00000198691	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.36	-0.69	0.648	0.692	0.69	0.36	0.32	0.778	0.804
ABCA7	ENSG00000064687	OMIM	AD	CNS-Medullo	1.38	0.28	1.24	0.209	0.333	-	-	-	-	-	1.38	0.28	1.24	0.209	0.333
ABCB6	ENSG00000115657	OMIM	AD	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.12	1.65	0.189	0.302
ABCC11	ENSG00000121270	OMIM	AD	CNS-Medullo	1.38	0.12	2.25	0.043	0.073	-	-	-	-	-	1.38	0.12	2.25	0.043	0.074
ABCC2	ENSG00000023839	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.08	2.07	0.119	0.192
ABCC6	ENSG00000091262	OMIM	AR	CNS-Medullo	0.69	0.16	1.33	0.275	0.390	0.69	0.24	0.84	0.472	0.550	1.38	0.28	1.24	0.209	0.333
ABCG2	ENSG00000118777	OMIM	AD	CNS-Medullo	0.69	0.16	1.33	0.275	0.390	-	-	-	-	-	0.69	0.16	1.33	0.275	0.404
ABCG8	ENSG00000143921	OMIM	AR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
ACADS	ENSG00000122971	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
ACADVL	ENSG00000072778	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
ACOX2	ENSG00000168306	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
ACSL3	ENSG00000123983	SOD	Not OMIM	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
ACSM3	ENSG00000005187	OMIM	Other	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
ADAM10	ENSG00000137845	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.922	0.00	0.24	-0.17	0.911	0.919
ADAMTS13	ENSG00000160323	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.16	1.33	0.275	0.417	0.69	0.16	1.33	0.275	0.404
ADAMTSL4	ENSG00000143382	OMIM	AR	CNS-Medullo	0.69	0.12	1.65	0.189	0.302	0.69	0.12	1.65	0.189	0.306	0.69	0.12	1.65	0.189	0.302
AEBP1	ENSG00000106624	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
AGBL1	ENSG00000166748	OMIM	AD	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
AHI1	ENSG00000135541	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
AK7	ENSG00000140057	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
AKR1C3	ENSG00000196139	SOD	Not OMIM	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
ALDOB	ENSG00000136872	OMIM	AR	CNS-Medullo	-	-	-	-	-	1.38	0.48	0.53	0.571	0.613	1.38	0.48	0.53	0.571	0.608
ALKBH8	ENSG00000137760	OMIM	AR	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
ALOXE3	ENSG00000179148	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
ALPK2	ENSG00000198796	SOD	Not OMIM	CNS-Medullo	1.38	0.00	4.25	0.011	0.022	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022
ANGPTL4	ENSG00000167772	OMIM	AD	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
ANO3	ENSG00000134343	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
ANO5	ENSG00000171714	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
APOC2	ENSG00000234906	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
APOE	ENSG00000130203	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
ASAH1	ENSG00000104763	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
ASB10	ENSG00000146926	OMIM	Other	CNS-Medullo	-	-	-	-	-	2.07	0.28	1.66	0.063	0.108	2.07	0.28	1.66	0.063	0.108
ASPM	ENSG00000066279	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
