Supplementary Table 5. Functional Annotation of 103 Significantly Enriched OMIM Genes Using GO and KEGG			
			
ID	GOTERM_BP_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY
IQCE	GO:0035108~limb morphogenesis,	GO:0005515~protein binding,	hsa04340:Hedgehog signaling pathway,
LDB3	GO:0007507~heart development,GO:0030036~actin cytoskeleton organization,GO:0045214~sarcomere organization,GO:0061061~muscle structure development,	GO:0003779~actin binding,GO:0005080~protein kinase C binding,GO:0005515~protein binding,GO:0008092~cytoskeletal protein binding,GO:0046872~metal ion binding,GO:0051371~muscle alpha-actinin binding,	
MEFV	GO:0002221~pattern recognition receptor signaling pathway,GO:0006954~inflammatory response,GO:0010468~regulation of gene expression,GO:0010508~positive regulation of autophagy,GO:0016567~protein ubiquitination,GO:0032651~regulation of interleukin-1 beta production,GO:0032691~negative regulation of interleukin-1 beta production,GO:0032695~negative regulation of interleukin-12 production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0034341~response to interferon-gamma,GO:0045087~innate immune response,GO:0050728~negative regulation of inflammatory response,GO:0050729~positive regulation of inflammatory response,GO:0070269~pyroptosis,GO:0071641~negative regulation of macrophage inflammatory protein 1 alpha production,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1904270~pyroptosome complex assembly,GO:2001056~positive regulation of cysteine-type endopeptidase activity,	GO:0003779~actin binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0042802~identical protein binding,GO:0061630~ubiquitin protein ligase activity,	hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05135:Yersinia infection,
ASAH1	GO:0006631~fatty acid metabolic process,GO:0030216~keratinocyte differentiation,GO:0046512~sphingosine biosynthetic process,GO:0046513~ceramide biosynthetic process,GO:0046514~ceramide catabolic process,GO:0050810~regulation of steroid biosynthetic process,GO:0071356~cellular response to tumor necrosis factor,GO:1903507~negative regulation of nucleic acid-templated transcription,	GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0016787~hydrolase activity,GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0016922~ligand-dependent nuclear receptor binding,GO:0017040~ceramidase activity,GO:0017064~fatty acid amide hydrolase activity,	hsa00600:Sphingolipid metabolism,hsa01100:Metabolic pathways,hsa04071:Sphingolipid signaling pathway,hsa04142:Lysosome,
PKHD1	GO:0000132~establishment of mitotic spindle orientation,GO:0001822~kidney development,GO:0001952~regulation of cell-matrix adhesion,GO:0003382~epithelial cell morphogenesis,GO:0006874~cellular calcium ion homeostasis,GO:0008284~positive regulation of cell proliferation,GO:0010824~regulation of centrosome duplication,GO:0022407~regulation of cell-cell adhesion,GO:0030155~regulation of cell adhesion,GO:0032006~regulation of TOR signaling,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0042592~homeostatic process,GO:0043066~negative regulation of apoptotic process,GO:0045216~cell-cell junction organization,GO:0048754~branching morphogenesis of an epithelial tube,GO:0050679~positive regulation of epithelial cell proliferation,GO:0051271~negative regulation of cellular component movement,GO:0051660~establishment of centrosome localization,GO:0051898~negative regulation of protein kinase B signaling,GO:0060271~cilium assembly,GO:0070372~regulation of ERK1 and ERK2 cascade,GO:0090175~regulation of establishment of planar polarity,GO:0098609~cell-cell adhesion,GO:1904036~negative regulation of epithelial cell apoptotic process,GO:1904054~regulation of cholangiocyte proliferation,	GO:0005515~protein binding,GO:0038023~signaling receptor activity,	
SEC31A	GO:0006886~intracellular protein transport,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007029~endoplasmic reticulum organization,GO:0051592~response to calcium ion,GO:0090110~cargo loading into COPII-coated vesicle,	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0048306~calcium-dependent protein binding,	hsa04141:Protein processing in endoplasmic reticulum,
SP110	GO:0006357~regulation of transcription from RNA polymerase II promoter,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0046872~metal ion binding,	
STAG3	GO:0007062~sister chromatid cohesion,GO:0007129~synapsis,GO:0007130~synaptonemal complex assembly,GO:0034089~establishment of meiotic sister chromatid cohesion,GO:0034502~protein localization to chromosome,	GO:0003682~chromatin binding,	hsa04114:Oocyte meiosis,
SURF1	GO:0008535~respiratory chain complex IV assembly,GO:0009060~aerobic respiration,GO:0022900~electron transport chain,GO:0033617~mitochondrial respiratory chain complex IV assembly,GO:1902600~hydrogen ion transmembrane transport,	GO:0004129~cytochrome-c oxidase activity,GO:0005515~protein binding,	
TGIF1	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:1990837~sequence-specific double-stranded DNA binding,	hsa04350:TGF-beta signaling pathway,
TNFRSF13B	GO:0001782~B cell homeostasis,GO:0002244~hematopoietic progenitor cell differentiation,GO:0002250~adaptive immune response,GO:0007166~cell surface receptor signaling pathway,GO:0030889~negative regulation of B cell proliferation,	GO:0005515~protein binding,GO:0038023~signaling receptor activity,	hsa04060:Cytokine-cytokine receptor interaction,hsa04672:Intestinal immune network for IgA production,hsa05340:Primary immunodeficiency,
USH1C	GO:0000086~G2/M transition of mitotic cell cycle,GO:0007605~sensory perception of sound,GO:0030046~parallel actin filament bundle assembly,GO:0032532~regulation of microvillus length,GO:0034622~cellular macromolecular complex assembly,GO:0042472~inner ear morphogenesis,GO:0042491~auditory receptor cell differentiation,GO:0045494~photoreceptor cell maintenance,GO:0046549~retinal cone cell development,GO:0050953~sensory perception of light stimulus,GO:0050957~equilibrioception,GO:0051017~actin filament bundle assembly,GO:0060122~inner ear receptor stereocilium organization,GO:0065003~macromolecular complex assembly,GO:1904106~protein localization to microvillus,GO:1904970~brush border assembly,	GO:0005515~protein binding,GO:0030507~spectrin binding,GO:0051015~actin filament binding,	
ACADM	GO:0001889~liver development,GO:0005978~glycogen biosynthetic process,GO:0006082~organic acid metabolic process,GO:0006111~regulation of gluconeogenesis,GO:0006629~lipid metabolic process,GO:0006635~fatty acid beta-oxidation,GO:0009409~response to cold,GO:0009791~post-embryonic development,GO:0019254~carnitine metabolic process, CoA-linked,GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase,GO:0042594~response to starvation,GO:0045329~carnitine biosynthetic process,GO:0051791~medium-chain fatty acid metabolic process,GO:0051793~medium-chain fatty acid catabolic process,GO:0055007~cardiac muscle cell differentiation,	GO:0003995~acyl-CoA dehydrogenase activity,GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,GO:0042802~identical protein binding,GO:0050660~flavin adenine dinucleotide binding,GO:0070991~medium-chain-acyl-CoA dehydrogenase activity,	hsa00071:Fatty acid degradation,hsa00280:Valine, leucine and isoleucine degradation,hsa01100:Metabolic pathways,hsa01212:Fatty acid metabolism,hsa03320:PPAR signaling pathway,hsa04936:Alcoholic liver disease,
AP4B1	GO:0006605~protein targeting,GO:0006886~intracellular protein transport,GO:0008104~protein localization,GO:0016192~vesicle-mediated transport,	GO:0005515~protein binding,GO:0030276~clathrin binding,	hsa04142:Lysosome,
AMPD1	GO:0006188~IMP biosynthetic process,GO:0032263~GMP salvage,GO:0032264~IMP salvage,GO:0046033~AMP metabolic process,	GO:0003876~AMP deaminase activity,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0046872~metal ion binding,	hsa00230:Purine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,
AMPD3	GO:0006188~IMP biosynthetic process,GO:0006196~AMP catabolic process,GO:0032264~IMP salvage,GO:0046033~AMP metabolic process,	GO:0003876~AMP deaminase activity,GO:0005515~protein binding,GO:0046872~metal ion binding,	hsa00230:Purine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,
ALB	GO:0001895~retina homeostasis,GO:0006810~transport,GO:0009267~cellular response to starvation,GO:0043066~negative regulation of apoptotic process,GO:0043069~negative regulation of programmed cell death,GO:0051659~maintenance of mitochondrion location,GO:0098869~cellular oxidant detoxification,	GO:0003677~DNA binding,GO:0005504~fatty acid binding,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0015643~toxic substance binding,GO:0016209~antioxidant activity,GO:0019825~oxygen binding,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0051087~chaperone binding,GO:1903981~enterobactin binding,	hsa04918:Thyroid hormone synthesis,
ALPL	GO:0001501~skeletal system development,GO:0001649~osteoblast differentiation,GO:0001958~endochondral ossification,GO:0003006~developmental process involved in reproduction,GO:0016311~dephosphorylation,GO:0019725~cellular homeostasis,GO:0030282~bone mineralization,GO:0032496~response to lipopolysaccharide,GO:0032868~response to insulin,GO:0033280~response to vitamin D,GO:0034516~response to vitamin B6,GO:0036005~response to macrophage colony-stimulating factor,GO:0042822~pyridoxal phosphate metabolic process,GO:0046677~response to antibiotic,GO:0051384~response to glucocorticoid,GO:0055062~phosphate ion homeostasis,GO:0055074~calcium ion homeostasis,GO:0071407~cellular response to organic cyclic compound,GO:0071529~cementum mineralization,GO:1904383~response to sodium phosphate,	GO:0004035~alkaline phosphatase activity,GO:0004427~inorganic diphosphatase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0016462~pyrophosphatase activity,GO:0016887~ATPase activity,GO:0033883~pyridoxal phosphatase activity,GO:0043262~adenosine-diphosphatase activity,GO:0050187~phosphoamidase activity,GO:0052732~phosphoethanolamine phosphatase activity,	hsa00730:Thiamine metabolism,hsa00790:Folate biosynthesis,hsa01100:Metabolic pathways,hsa01240:Biosynthesis of cofactors,
AAGAB	GO:0015031~protein transport,	GO:0005515~protein binding,	
ALS2	GO:0001662~behavioral fear response,GO:0001701~in utero embryonic development,GO:0001881~receptor recycling,GO:0006979~response to oxidative stress,GO:0007032~endosome organization,GO:0007041~lysosomal transport,GO:0007409~axonogenesis,GO:0007528~neuromuscular junction development,GO:0007626~locomotory behavior,GO:0008104~protein localization,GO:0008219~cell death,GO:0016197~endosomal transport,GO:0016601~Rac protein signal transduction,GO:0035022~positive regulation of Rac protein signal transduction,GO:0035249~synaptic transmission, glutamatergic,GO:0043087~regulation of GTPase activity,GO:0043547~positive regulation of GTPase activity,GO:0045860~positive regulation of protein kinase activity,GO:0048812~neuron projection morphogenesis,GO:0051036~regulation of endosome size,GO:0051260~protein homooligomerization,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0031267~small GTPase binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0043539~protein serine/threonine kinase activator activity,	hsa05014:Amyotrophic lateral sclerosis,hsa05022:Pathways of neurodegeneration - multiple diseases,
ASPN	GO:0030282~bone mineralization,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0070171~negative regulation of tooth mineralization,GO:1902617~response to fluoride,	GO:0005509~calcium ion binding,GO:0005518~collagen binding,GO:0030021~extracellular matrix structural constituent conferring compression resistance,	
BEST1	GO:0006821~chloride transport,GO:0007601~visual perception,GO:0015701~bicarbonate transport,GO:0030321~transepithelial chloride transport,GO:0034220~ion transmembrane transport,GO:0050908~detection of light stimulus involved in visual perception,GO:0051924~regulation of calcium ion transport,GO:1902476~chloride transmembrane transport,	GO:0005229~intracellular calcium activated chloride channel activity,GO:0005254~chloride channel activity,GO:0015106~bicarbonate transmembrane transporter activity,GO:0042802~identical protein binding,	
UPB1	GO:0001701~in utero embryonic development,GO:0001889~liver development,GO:0006248~CMP catabolic process,GO:0006249~dCMP catabolic process,GO:0006807~nitrogen compound metabolic process,GO:0019482~beta-alanine metabolic process,GO:0033396~beta-alanine biosynthetic process via 3-ureidopropionate,GO:0046050~UMP catabolic process,GO:0046079~dUMP catabolic process,GO:0046135~pyrimidine nucleoside catabolic process,GO:0051260~protein homooligomerization,GO:0051289~protein homotetramerization,	GO:0003837~beta-ureidopropionase activity,GO:0008270~zinc ion binding,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0042803~protein homodimerization activity,	hsa00240:Pyrimidine metabolism,hsa00410:beta-Alanine metabolism,hsa00770:Pantothenate and CoA biosynthesis,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,
CALCR	GO:0007166~cell surface receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0010628~positive regulation of gene expression,GO:0010739~positive regulation of protein kinase A signaling,GO:0010942~positive regulation of cell death,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0038041~cross-receptor inhibition within G-protein coupled receptor heterodimer,GO:0045762~positive regulation of adenylate cyclase activity,GO:0051384~response to glucocorticoid,GO:0051897~positive regulation of protein kinase B signaling,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0097647~amylin receptor signaling pathway,GO:1904645~response to beta-amyloid,GO:1905665~positive regulation of calcium ion import across plasma membrane,	GO:0001540~beta-amyloid binding,GO:0001635~calcitonin gene-related peptide receptor activity,GO:0004948~calcitonin receptor activity,GO:0005515~protein binding,GO:0008528~G-protein coupled peptide receptor activity,GO:0032841~calcitonin binding,GO:0097643~amylin receptor activity,	hsa04080:Neuroactive ligand-receptor interaction,hsa04380:Osteoclast differentiation,
CRAT	GO:0006635~fatty acid beta-oxidation,GO:0019254~carnitine metabolic process, CoA-linked,GO:0033540~fatty acid beta-oxidation using acyl-CoA oxidase,GO:0046459~short-chain fatty acid metabolic process,GO:0051791~medium-chain fatty acid metabolic process,	GO:0003997~acyl-CoA oxidase activity,GO:0004092~carnitine O-acetyltransferase activity,GO:0008458~carnitine O-octanoyltransferase activity,GO:0016746~transferase activity, transferring acyl groups,	hsa04146:Peroxisome,
CPT2	GO:0001676~long-chain fatty acid metabolic process,GO:0001701~in utero embryonic development,GO:0006635~fatty acid beta-oxidation,GO:0006853~carnitine shuttle,GO:0009437~carnitine metabolic process,	GO:0004095~carnitine O-palmitoyltransferase activity,GO:0005515~protein binding,GO:0008458~carnitine O-octanoyltransferase activity,GO:0016746~transferase activity, transferring acyl groups,	hsa00071:Fatty acid degradation,hsa01212:Fatty acid metabolism,hsa03320:PPAR signaling pathway,hsa04714:Thermogenesis,hsa05415:Diabetic cardiomyopathy,
CASP10	GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,GO:0030225~macrophage differentiation,GO:0042981~regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0051604~protein maturation,	GO:0004197~cysteine-type endopeptidase activity,GO:0005515~protein binding,GO:0031625~ubiquitin protein ligase binding,GO:0035877~death effector domain binding,GO:0097153~cysteine-type endopeptidase activity involved in apoptotic process,GO:0097199~cysteine-type endopeptidase activity involved in apoptotic signaling pathway,GO:0097200~cysteine-type endopeptidase activity involved in execution phase of apoptosis,	hsa04210:Apoptosis,hsa04622:RIG-I-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa05152:Tuberculosis,hsa05161:Hepatitis B,
CHRNA5	GO:0006811~ion transport,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0007271~synaptic transmission, cholinergic,GO:0034220~ion transmembrane transport,GO:0035094~response to nicotine,GO:0035095~behavioral response to nicotine,GO:0042391~regulation of membrane potential,GO:0050877~neurological system process,GO:0051899~membrane depolarization,GO:0060079~excitatory postsynaptic potential,GO:2000300~regulation of synaptic vesicle exocytosis,	GO:0004888~transmembrane signaling receptor activity,GO:0005216~ion channel activity,GO:0005515~protein binding,GO:0015276~ligand-gated ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0022848~acetylcholine-gated cation-selective channel activity,GO:0030594~neurotransmitter receptor activity,	hsa04080:Neuroactive ligand-receptor interaction,
COL18A1	GO:0001501~skeletal system development,GO:0001525~angiogenesis,GO:0001886~endothelial cell morphogenesis,GO:0007155~cell adhesion,GO:0007601~visual perception,GO:0008285~negative regulation of cell proliferation,GO:0009887~animal organ morphogenesis,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0030903~notochord development,	GO:0005201~extracellular matrix structural constituent,GO:0030020~extracellular matrix structural constituent conferring tensile strength,GO:0042802~identical protein binding,GO:0046872~metal ion binding,	hsa04974:Protein digestion and absorption,
